Gisswitchgear_iri,switchgear-asset-identifier-code,rated-voltage-ur,name,country-of-installation,end-customer,LIPROGIS,switchgear-installation-location-type,switchgear-product-type,VDB-number
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN,RFK,66.0,Vineyard Electrical Service Platform,http://ontology.siemens.com/shared/geography/country/did/0.4#Us,Vineyard Wind,10135,Außen,8dn85,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10136_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN,RFK,66.0,Vineyard Electrical Service Platform,http://ontology.siemens.com/shared/geography/country/did/0.4#Us,Vineyard Wind,10136,Außen,8dn92,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,RFK,132.0,Paardevlei 145 kV,http://ontology.siemens.com/shared/geography/country/did/0.4#Za,Cape Town City Council,10139,Innen,8dn85,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+,BMK,69.0,Evans Churchill 69 kV,http://ontology.siemens.com/shared/geography/country/did/0.4#Us,APS,10166,Innen,8dn85,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV,BMK,123.0,Varisto 110kV,http://ontology.siemens.com/shared/geography/country/did/0.4#Fi,Vantaan Sähköverkot Oy,10187,Innen,8dn85,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2,BMK,0.0,Poste de Lillo 150kV Extension 2,http://ontology.siemens.com/shared/geography/country/did/0.4#Be,Elia Asset n.v.,10196,Innen,8dn92,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10197_AU%3A+P-019371+B2289+Hunters+Point+115kV+PG%26E+50kA,RFK,115.0,Hunters Point 115 kV,http://ontology.siemens.com/shared/geography/country/did/0.4#Us,PG&E,10197,Innen,8VN1-1,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10215_AU%3A+P-018993+B2084+UIC+New+Pequonnock+145+kV+80+kA,RFK,145.0,New Pequonnock,http://ontology.siemens.com/shared/geography/country/did/0.4#Us,United Illuminating Company,10215,Außen,8DQ161,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10252_AU%3A+P-018640+B0737++Elia+Lillo+380kV+Erweiterung+neues+Geb%C3%A4ude,BMK,380.0,Elia Lillo 380kV Extension 1 and 2,http://ontology.siemens.com/shared/geography/country/did/0.4#Be,Elia Asset s.a.,10252,Außen,Busduct,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10304_AU%3A+P-019734+B1285+PTT+EPS+EXPANSION+PROJECT_115kV+-+%3DE11,BMK,110.0,EPS EXPANSION PROJECT_115 kV,http://ontology.siemens.com/shared/geography/country/did/0.4#Th,PTT Global Chemical Public Co. Ltd.,10304,Innen,8dn85,
