substation_iri,bay_iri
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN/AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN%2FAAF11
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN/AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN%2FAAF12
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN/AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN%2FAAF13
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN/AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN%2FAAF14
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN/AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN%2FAAF15
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN/AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN%2FAAF16
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN/AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN%2FAAF17
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN/AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN%2FAAF18
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN/AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN%2FAAF21
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10135_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN/AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN%2FAAF22
